x, y, z
-0.15, -8.326672684688674e-17, 0.375
-0.14651162790697675, -8.326672684688674e-17, 0.375
-0.14302325581395348, -8.326672684688674e-17, 0.375
-0.13953488372093023, -8.326672684688674e-17, 0.375
-0.13604651162790699, -8.326672684688674e-17, 0.375
-0.1325581395348837, -8.326672684688674e-17, 0.375
-0.12906976744186047, -8.326672684688674e-17, 0.375
-0.1255813953488372, -8.326672684688674e-17, 0.375
-0.12209302325581395, -8.326672684688674e-17, 0.375
-0.11860465116279069, -8.326672684688674e-17, 0.375
-0.11511627906976743, -8.326672684688674e-17, 0.375
-0.11162790697674418, -8.326672684688674e-17, 0.375
-0.10813953488372093, -8.326672684688674e-17, 0.375
-0.10465116279069767, -8.326672684688674e-17, 0.375
-0.10116279069767442, -8.326672684688674e-17, 0.375
-0.09767441860465116, -8.326672684688674e-17, 0.375
-0.0941860465116279, -8.326672684688674e-17, 0.375
-0.09069767441860464, -8.326672684688674e-17, 0.375
-0.08720930232558138, -8.326672684688674e-17, 0.375
-0.08372093023255814, -8.326672684688674e-17, 0.375
-0.08023255813953488, -8.326672684688674e-17, 0.375
-0.07674418604651162, -8.326672684688674e-17, 0.375
-0.07325581395348837, -8.326672684688674e-17, 0.375
-0.06976744186046512, -8.326672684688674e-17, 0.375
-0.06627906976744186, -8.326672684688674e-17, 0.375
-0.0627906976744186, -8.326672684688674e-17, 0.375
-0.059302325581395345, -8.326672684688674e-17, 0.375
-0.05581395348837209, -8.326672684688674e-17, 0.375
-0.05232558139534883, -8.326672684688674e-17, 0.375
-0.048837209302325574, -8.326672684688674e-17, 0.375
-0.04534883720930232, -8.326672684688674e-17, 0.375
-0.04186046511627907, -8.326672684688674e-17, 0.375
-0.03837209302325581, -8.326672684688674e-17, 0.375
-0.03488372093023255, -8.326672684688674e-17, 0.375
-0.0313953488372093, -8.326672684688674e-17, 0.375
-0.027906976744186043, -8.326672684688674e-17, 0.375
-0.024418604651162787, -8.326672684688674e-17, 0.375
-0.02093023255813953, -8.326672684688674e-17, 0.375
-0.017441860465116275, -8.326672684688674e-17, 0.375
-0.01395348837209302, -8.326672684688674e-17, 0.375
-0.010465116279069764, -8.326672684688674e-17, 0.375
-0.006976744186046508, -8.326672684688674e-17, 0.375
-0.0034883720930232523, -8.326672684688674e-17, 0.375
3.469446951953614e-18, -8.326672684688674e-17, 0.375
0.0034883720930232592, -8.326672684688674e-17, 0.375
0.006976744186046515, -8.326672684688674e-17, 0.375
0.01046511627906977, -8.326672684688674e-17, 0.375
0.013953488372093027, -8.326672684688674e-17, 0.375
0.017441860465116282, -8.326672684688674e-17, 0.375
0.020930232558139538, -8.326672684688674e-17, 0.375
0.024418604651162794, -8.326672684688674e-17, 0.375
0.02790697674418605, -8.326672684688674e-17, 0.375
0.031395348837209305, -8.326672684688674e-17, 0.375
0.034883720930232565, -8.326672684688674e-17, 0.375
0.03837209302325582, -8.326672684688674e-17, 0.375
0.04186046511627907, -8.326672684688674e-17, 0.375
0.04534883720930233, -8.326672684688674e-17, 0.375
0.04883720930232559, -8.326672684688674e-17, 0.375
0.05232558139534884, -8.326672684688674e-17, 0.375
0.05581395348837209, -8.326672684688674e-17, 0.375
0.05930232558139535, -8.326672684688674e-17, 0.375
0.06279069767441861, -8.326672684688674e-17, 0.375
0.06627906976744186, -8.326672684688674e-17, 0.375
0.06976744186046512, -8.326672684688674e-17, 0.375
0.07325581395348837, -8.326672684688674e-17, 0.375
0.07674418604651163, -8.326672684688674e-17, 0.375
0.08023255813953489, -8.326672684688674e-17, 0.375
0.08372093023255814, -8.326672684688674e-17, 0.375
0.0872093023255814, -8.326672684688674e-17, 0.375
0.09069767441860466, -8.326672684688674e-17, 0.375
0.0941860465116279, -8.326672684688674e-17, 0.375
0.09767441860465116, -8.326672684688674e-17, 0.375
0.10116279069767442, -8.326672684688674e-17, 0.375
0.10465116279069768, -8.326672684688674e-17, 0.375
0.10813953488372094, -8.326672684688674e-17, 0.375
0.11162790697674418, -8.326672684688674e-17, 0.375
0.11511627906976744, -8.326672684688674e-17, 0.375
0.1186046511627907, -8.326672684688674e-17, 0.375
0.12209302325581395, -8.326672684688674e-17, 0.375
0.12558139534883722, -8.326672684688674e-17, 0.375
0.12906976744186047, -8.326672684688674e-17, 0.375
0.1325581395348837, -8.326672684688674e-17, 0.375
0.13604651162790699, -8.326672684688674e-17, 0.375
0.13953488372093023, -8.326672684688674e-17, 0.375
0.14302325581395348, -8.326672684688674e-17, 0.375
0.14651162790697675, -8.326672684688674e-17, 0.375
0.15, -8.326672684688674e-17, 0.375
-0.15, -8.249215264365988e-17, 0.3715116279069767
-0.14651162790697675, -8.249215264365988e-17, 0.3715116279069767
-0.14302325581395348, -8.249215264365988e-17, 0.3715116279069767
-0.13953488372093023, -8.249215264365988e-17, 0.3715116279069767
